Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,10720,2097152,128,16,8,1,8,1,1,0,1,6,2245998,43655797,5,155189296,138412041,4,205520896,92.8571,0,0,0,0,272629760,136314880,0.974817,99.8911,0,4982833152,0,5049942016,1077936128,2738880512,574619648,6291456,455475200,0,3,8.63477,0,0,2,1,1,6,28.2429,100,99.0072,1024,0,32,0,19
directCoulombSum,9264,2097152,128,16,8,1,8,2,0,0,1,6,2239138,42138451,6,142606888,138412041,4,205520896,97.0149,0,0,0,0,272629760,136314880,0.971374,99.8758,0,4982833152,0,2499805184,541065216,1262485504,306184192,6291456,304480256,0,3,9.99618,0,0,2,1,1,6,24.5515,100,98.5149,1024,0,32,0,20
directCoulombSum,10036,2097152,128,16,8,1,8,2,1,0,1,6,2256114,45517298,5,155190608,138412041,4,205520896,92.8571,0,0,0,0,272629760,136314880,0.976062,99.9779,0,4982833152,0,3439329280,541065216,1665138688,574619648,6291456,354811904,0,3,9.25427,0,0,2,1,1,7,25.7208,100,98.7255,1024,0,32,0,21
directCoulombSum,8901,2097152,128,16,8,1,8,4,0,0,1,6,2221690,39560133,6,142606904,138412041,5,205520896,97.0149,0,0,0,0,272629760,136314880,0.980533,99.6784,0,4982833152,0,1694498816,272629760,725614592,306184192,6291456,254148608,0,2,10.3708,0,0,2,1,1,6,22.9802,100,98.2207,1024,0,32,0,22
directCoulombSum,9762,2097152,128,16,8,1,8,4,1,0,1,6,2227350,42185245,6,155190376,138412041,4,205520896,92.8571,0,0,0,0,272629760,136314880,0.978867,99.9046,0,4982833152,0,2634022912,272629760,1128267776,574619648,6291456,304480256,0,2,9.46256,0,0,2,1,1,7,24.0051,100,98.5149,1024,0,32,0,23
directCoulombSum,1710,1048576,128,16,8,1,16,0,0,0,1,4,2097190,2068491,1,4194408,2097161,4,35651584,0,0,0,0,0,0,0,0.970132,100.152,0,4580179968,0,515899392,67108864,100663296,46137344,3145728,166166528,0,7,48.9367,0,0,8,1,1,2,68.8167,100,99.9211,1024,0,0,0,32
directCoulombSum,3154,1048576,128,16,8,1,16,0,1,0,1,2,2097318,2068507,1,10485936,2097161,3,35651584,0,0,0,0,0,0,0,0.740473,99.34,0,4580179968,0,918552576,67108864,301989888,790626304,3145728,208306176,0,5,26.5751,0,0,4,1,1,3,51.6952,100,99.9371,1024,0,0,0,40
directCoulombSum,29268,1048576,128,16,8,1,16,1,0,0,1,7,33458406,126447297,2,140509760,138412041,2,171966464,97.7444,0,0,0,0,272629760,136314880,0.945106,99.692,0,4647288832,0,3758096384,1075838976,2269118464,161480704,3145728,374603776,0,1,2.84587,0,0,1,1,1,2,8.32867,100,99.3964,1024,0,64,0,15
directCoulombSum,29314,1048576,128,16,8,1,16,1,1,0,1,7,32963846,125933833,2,146801704,138412041,2,171966464,95.5882,0,0,0,0,272629760,136314880,0.94584,100.133,0,4647288832,0,4227858432,1075838976,2470445056,295698432,3145728,399769600,0,1,2.86048,0,0,1,1,1,2,8.83466,100,99.4344,1024,0,64,0,19
directCoulombSum,28772,1048576,128,16,8,1,16,2,0,0,1,8,37632928,130784297,2,140510424,138412041,2,171966464,97.7444,0,0,0,0,272629760,136314880,0.971641,99.6943,0,4647288832,0,2147483648,538968064,1195376640,161480704,3145728,273940480,0,1,2.89251,0,0,1,1,1,2,6.90465,100,99.1746,1024,0,64,0,20
