Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,42594,2097152,128,16,8,1,8,1,0,0,1,1,2616586,2105394,4,143125660,138412034,6,205520896,97.0149,0,0,0,0,272629760,136314880,0.993757,99.9599,4982833152,0,4110417920,1073741824,2336227328,306184192,6291456,404946944,4,12.6766,0,0,2,1,1,8,37.3111,100,98.8995,1024,0,32,0,15
directCoulombSum,45081,2097152,128,16,8,1,8,1,1,0,1,1,2876126,2109426,4,155967990,138412034,5,205520896,92.8571,0,0,0,0,272629760,136314880,0.992403,99.9716,4982833152,0,5049942016,1073741824,2738880512,440401920,6291456,451084288,4,11.9541,0,0,2,1,1,8,39.0446,100,99.0121,1024,0,32,0,19
directCoulombSum,42388,2097152,128,16,8,1,8,2,0,0,1,1,2616718,2105430,4,143207016,138412034,6,205520896,97.0149,0,0,0,0,272629760,136314880,0.990845,99.9668,4982833152,0,2499805184,536870912,1262485504,306184192,6291456,304283648,3,12.7126,0,0,2,1,1,8,31.2017,100,98.5354,1024,0,32,0,20
directCoulombSum,46580,2097152,128,16,8,1,8,2,1,0,1,1,2876038,2109442,4,155968158,138412034,5,205520896,92.8571,0,0,0,0,272629760,136314880,0.988294,99.9864,4982833152,0,3439329280,536870912,1665138688,440401920,6291456,350420992,3,11.5767,0,0,2,1,1,8,32.1645,100,98.7283,1024,0,32,0,21
directCoulombSum,43689,2097152,128,16,8,1,8,4,0,0,1,1,2876176,2109498,4,143385286,138412034,5,205520896,97.0149,0,0,0,0,272629760,136314880,0.979097,99.961,4982833152,0,1694498816,268435456,725614592,306184192,6291456,253952000,3,12.3353,0,0,2,1,1,8,25.2534,100,98.2452,1024,0,32,0,22
directCoulombSum,48501,2097152,128,16,8,1,8,4,1,0,1,1,2876034,2109454,4,155968038,138412034,5,205520896,92.8571,0,0,0,0,272629760,136314880,0.978497,99.9496,4982833152,0,2634022912,268435456,1128267776,440401920,6291456,300089344,3,11.1114,0,0,2,1,1,8,26.3712,100,98.515,1024,0,32,0,24
directCoulombSum,9071,1048576,128,16,8,1,16,0,0,0,1,2,2097502,2097166,1,4194696,2097154,5,35651584,0,0,0,0,0,0,0,0.965093,99.9779,4580179968,0,515899392,69206016,100663296,46137344,3145728,166264832,8,53.5314,0,0,8,1,1,2,75.4426,100,99.9015,1024,0,0,0,32
directCoulombSum,9758,1048576,128,16,8,1,16,0,1,0,1,2,2097456,2097174,1,10607052,2097154,4,35651584,0,0,0,0,0,0,0,0.732288,99.9698,4580179968,0,918552576,69206016,301989888,185597952,3145728,189497344,8,49.7678,0,0,8,1,1,5,84.9343,100,99.9135,1024,0,0,0,40
directCoulombSum,41520,1048576,128,16,8,1,16,1,0,0,1,1,2631456,2168819,4,141165148,138412034,5,171966464,97.7444,0,0,0,0,272629760,136314880,0.993949,99.9537,4647288832,0,3758096384,1073741824,2269118464,161480704,3145728,374505472,3,11.7923,0,0,2,1,1,8,34.4269,100,99.405,1024,0,64,0,15
directCoulombSum,43741,1048576,128,16,8,1,16,1,1,0,1,1,2616612,2149854,4,147349388,138412034,5,171966464,95.5882,0,0,0,0,272629760,136314880,0.989754,99.9634,4647288832,0,4227858432,1073741824,2470445056,228589568,3145728,397574144,3,11.1881,0,0,2,1,1,8,34.6114,100,99.4395,1024,0,64,0,19
