Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,WORK_GROUP_SIZE_Z,Z_ITERATIONS,INNER_UNROLL_FACTOR,USE_SOA,USE_CONSTANT_MEMORY,VECTOR_SIZE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,local_load_transactions,local_store_transactions,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
directCoulombSum,5519,2097152,128,16,8,1,8,0,1,0,1,2,2245757,2097152,2,18874854,2097153,0,0,0,0,0,0,0.954226,99.9253,4865392640,0,528482304,35651584,570425344,88080384,6291456,190382080,34.8692,0,1,5,0,71.9836,0,0,1024,0,0,0,32
directCoulombSum,46330,2097152,128,16,8,1,8,1,0,0,1,6,28740761,135877694,2,146220726,137827901,0,0,95.5705,0,0,0,0.852121,99.9811,4999610368,0,3875536896,1073741824,2336227328,455081984,6291456,402391040,4.15482,0,1,3,0,24.749,40670388,40703542,1024,0,32,0,18
directCoulombSum,47499,2097152,128,16,8,1,8,1,1,0,1,6,28497212,136303164,2,154619782,137883773,0,0,92.8308,0,0,0,0.844875,99.9763,4999610368,0,4680843264,1073741824,2738880512,455081984,6291456,440139776,4.09492,0,1,4,0,24.6225,40434058,40347955,1024,0,32,0,20
directCoulombSum,41181,2097152,128,16,8,1,8,2,0,0,1,7,27988389,135733218,2,146160166,137983729,0,0,95.5718,0,0,0,0.845262,99.9096,4999610368,0,2264924160,536870912,1262485504,455081984,6291456,301727744,4.66134,0,1,4,0,25.7178,62073515,65308870,1024,0,32,0,18
directCoulombSum,44624,2097152,128,16,8,1,8,2,1,0,1,7,32649625,137151115,2,154841078,138154889,0,0,92.8428,0,0,0,0.858498,99.9794,4999610368,0,3070230528,536870912,1665138688,455081984,6291456,339476480,4.35106,0,1,4,0,23.9904,59288898,62094953,1024,0,32,0,20
directCoulombSum,43115,2097152,128,16,8,1,8,4,0,0,1,7,31388146,137098828,2,146424866,138228445,0,0,95.5797,0,0,0,0.868152,99.9572,4999610368,0,1459617792,268435456,725614592,455081984,6291456,251396096,4.58812,0,1,5,0,27.7986,84073088,99420356,1024,0,32,0,23
directCoulombSum,44954,2097152,128,16,8,1,8,4,1,0,1,7,34513100,137488055,2,154926570,138291649,0,0,92.8476,0,0,0,0.87024,99.9595,4999610368,0,2264924160,268435456,1128267776,455081984,6291456,289144832,4.36945,0,1,4,0,25.9322,74700588,89178572,1024,0,32,0,23
directCoulombSum,4845,1048576,128,16,8,1,16,0,0,0,1,2,2097709,2097624,1,6292010,2097153,0,0,4.76837E-05,0,0,0,0.949237,99.906,4596957184,0,392167424,67108864,100663296,61865984,3145728,162856960,36.447,0,1,2,0,81.2742,0,0,1024,0,0,0,31
directCoulombSum,4717,1048576,128,16,8,1,16,0,1,0,1,2,2244781,2097152,1,10486214,2097153,0,0,0,0,0,0,0.710994,99.8797,4596957184,0,794820608,67108864,301989888,68157440,3145728,181927936,36.9745,0,1,3,0,74.439,0,0,1024,0,0,0,38
directCoulombSum,75315,1048576,128,16,8,1,16,1,0,0,1,7,137934711,138296326,2,142547966,138358577,0,0,97.0138,0,0,0,0.969701,99.9254,4664066048,0,3598712832,1073741824,2269118464,244318208,3145728,372178944,2.34229,0,1,2,0,15.0044,47485050,46606918,1024,0,64,0,18
