Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,8685,131072,64,8,8,0,8,4,1,7,0,8,8,6,20207237,9998921,2,26640394,10545349,0,0,38.8347,0,0,0,5363153,3262987,0.482328,99.4593,205520896,0,11534336,131072,126091264,6422528,0,10928128,1.44719,0,1,5,0,13.4871,1024,0,1456,0,63
conv,7198,131072,64,8,8,0,8,4,2,1,0,8,8,7,26274684,3350653,2,42120462,4390913,0,0,55.6054,0,0,0,8742763,1871534,0.490868,99.7447,205520896,0,58589184,6553600,220332032,39321600,0,16625664,1.66254,0,1,5,0,14.1737,1024,0,560,0,48
conv,9347,131072,64,8,8,0,8,4,2,7,0,8,8,6,23180181,9315640,2,28259878,9464197,0,0,45.2643,0,0,0,5391078,3734792,0.481238,99.6378,205520896,0,11665408,131072,137887744,6160384,0,11292672,1.33767,0,1,4,0,11.3442,1024,0,1584,0,63
conv,7168,131072,64,8,8,0,8,4,4,1,0,8,8,7,26235215,2983343,2,42117182,3342341,0,0,56.8862,0,0,0,8667248,2064437,0.491945,99.6277,205520896,0,58720256,6553600,219283456,39190528,0,16592896,1.68924,0,1,5,0,14.1766,1024,0,560,0,48
conv,8064,131072,64,8,8,0,8,4,4,7,0,8,8,7,21225459,7982681,2,27500130,8039197,0,0,44.8478,0,0,0,4657054,3532130,0.48612,99.4319,205520896,0,11796480,131072,131072000,5242880,0,11055104,1.46264,0,1,4,0,11.6121,1024,0,1336,0,63
conv,14478,65536,64,8,8,0,8,8,1,1,0,8,8,6,34657121,15447333,2,46166518,15806921,0,0,72.3434,0,0,0,15914253,5453968,0.480814,99.1194,205520896,0,30736384,3276800,377487360,33816576,0,20365312,0.825831,0,1,4,0,9.74971,1024,0,912,0,63
conv,11794,65536,64,8,8,0,8,8,1,7,0,8,8,6,22422698,15672008,2,26087551,15678325,0,0,58.899,0,0,0,12403617,7442537,0.485964,98.564,205520896,0,8323072,65536,200933376,4063232,0,13090816,1.05814,0,1,5,0,12.3257,1024,0,3296,0,63
conv,13214,65536,64,8,8,0,8,8,2,1,0,8,8,7,34903160,13614757,2,46146210,13735385,0,0,74.8792,0,0,0,12962243,5653389,0.491185,99.7714,205520896,0,32374784,3276800,375259136,33816576,0,20346880,0.894754,0,1,4,0,9.09305,1024,0,896,0,63
conv,11017,65536,64,8,8,0,8,8,2,7,0,8,8,6,23192240,13197232,2,26101739,13197065,0,0,61.6631,0,0,0,9348214,6296813,0.488905,98.9714,205520896,0,8978432,65536,189464576,4259840,0,12759040,1.13193,0,1,4,0,10.6814,1024,0,3320,0,63
conv,13779,65536,64,8,8,0,8,8,4,1,0,8,8,7,35315273,14579659,2,48095802,14637737,0,0,77.6916,0,0,0,12786895,6305523,0.489384,99.695,205520896,0,32440320,3276800,406454272,43188224,0,21616640,0.873312,0,1,4,0,8.91445,1024,0,912,0,63
conv,9749,65536,64,8,8,0,8,8,4,7,0,8,8,6,22395269,11274036,2,25040059,11273617,0,0,61.4026,0,0,0,7274160,5585917,0.489357,99.7971,205520896,0,9109504,65536,178651136,4587520,0,12435456,1.25011,0,1,4,0,10.044,1024,0,3328,0,63
conv,14624,4194304,64,8,8,1,1,1,1,1,0,8,8,6,23101653,26214676,2,36206974,26213965,0,0,82.2563,27.8409,10878976,1376271,6731730,10647807,0.489612,99.9614,205520896,0,1652555776,205520896,851968000,276824064,0,102367232,0.819475,0,1,4,0,17.2287,1024,784,200,0,21
conv,14594,4194304,64,8,8,1,1,1,1,1,1,8,8,6,23096313,26213428,2,36207838,26213453,0,0,82.2564,25.6465,11534336,1769501,6743046,10696371,0.489642,99.9821,205520896,0,1652555776,205520896,851968000,276824064,0,102367232,0.831494,0,1,4,0,17.7721,1024,840,200,0,21
conv,4491,4194304,64,8,8,1,1,1,1,7,0,8,8,1,561417,524288,1,10551582,524289,0,0,0,27.8409,10878976,1376256,0,0,0.487641,99.9639,205520896,0,121634816,4194304,440926208,41943040,0,27000832,2.66885,0,1,7,0,19.8341,1024,784,0,0,32
conv,4684,4194304,64,8,8,1,1,1,1,7,1,8,8,1,528790,524288,1,10551598,524289,0,0,0,25.6466,11534336,1769472,0,0,0.486795,99.9461,205520896,0,121634816,4194304,440926208,41943040,0,27000832,2.58776,0,1,7,0,20.0681,1024,840,0,0,32
conv,7773,2097152,64,8,8,1,1,2,1,1,0,8,8,7,12964210,15204344,2,20842206,15204353,0,0,80.6372,23.035,7340032,1310730,3765434,7214192,0.489369,99.9713,205520896,0,792723456,104857600,389283840,257949696,0,57278464,1.55613,0,1,4,0,21.0813,1024,1232,224,0,32
