Kernel name,Computation duration (us),Global size,Local size,TBX,TBY,LOCAL,WPTX,WPTY,VECTOR,UNROLL_FACTOR,PADDING,TBX_XL,TBY_XL,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
conv,18667,1048576,64,8,8,0,8,2,2,7,0,8,8,1,2363345,2106749,4,119306354,8388610,2,21102592,0,0,0,0,0,0,0,0.295841,99.9915,822083584,0,101711872,1048576,177209344,72351744,0,36700160,1,7.19439,0,0,0,1,1,2,8.48907,100,100,640,0,0,0,96
conv,35224,1048576,64,8,8,0,8,2,4,1,0,8,8,4,16587853,16471280,4,216690324,18874370,4,118226944,47.5673,0,0,0,0,194248704,14680064,0.735245,99.9801,822083584,0,492830720,52428800,989855744,311427072,0,83820544,1,3.79327,0,0,0,1,1,4,7.91721,100,99.4918,1024,0,448,0,40
conv,18512,1048576,64,8,8,0,8,2,4,7,0,8,8,1,2493115,2108777,4,119565868,4194306,2,21102592,0,0,0,0,0,0,0,0.297492,99.9719,822083584,0,104857600,1048576,173015040,75497472,0,36765696,1,7.2761,0,0,0,1,1,2,8.84709,100,100,640,0,0,0,96
conv,28238,524288,64,8,8,0,8,4,1,1,0,8,8,4,10252799,11260740,4,169030148,25952258,4,106692608,53.2143,0,0,0,0,188612608,9175040,0.605409,99.9653,822083584,0,355467264,26214400,889716736,268435456,0,74022912,1,4.75155,0,0,0,1,1,5,9.42158,100,99.7123,1024,0,560,0,48
conv,13815,524288,64,8,8,0,8,4,1,7,0,8,8,2,2363953,2105333,4,74464406,16777218,1,12386304,0,0,0,0,0,0,0,0.24564,99.8959,822083584,0,66060288,524288,115867648,35651584,0,32505856,2,9.85526,0,0,0,1,1,2,10.9163,100,100,512,0,0,0,128
conv,27362,524288,64,8,8,0,8,4,2,1,0,8,8,4,10223600,11244394,4,169030228,17563650,5,106692608,55.6133,0,0,0,0,188612608,9175040,0.607238,99.9329,822083584,0,362807296,26214400,881328128,320864256,0,75628544,1,4.92881,0,0,0,1,1,5,9.88946,100,99.7184,1024,0,560,0,48
conv,12129,524288,64,8,8,0,8,4,2,7,0,8,8,2,2363989,2108253,4,74464522,8388610,2,12386304,0,0,0,0,0,0,0,0.24443,99.9241,822083584,0,69730304,524288,107479040,38797312,0,32456704,2,11.0458,0,0,0,1,1,2,12.1752,100,100,512,0,0,0,128
conv,27060,524288,64,8,8,0,8,4,4,1,0,8,8,4,10385962,11230568,4,169030420,13369346,5,106692608,56.8958,0,0,0,0,188612608,9175040,0.610091,99.8104,822083584,0,365428736,26214400,877133824,217579520,0,72351744,1,4.96807,0,0,0,1,1,5,9.5043,100,99.7056,1024,0,560,0,48
conv,11738,524288,64,8,8,0,8,4,4,7,0,8,8,2,2234153,2106553,4,74464514,4194306,2,12386304,0,0,0,0,0,0,0,0.243885,99.9029,822083584,0,72351744,524288,103284736,42467328,0,32522240,2,11.5167,0,0,0,1,1,2,12.6969,100,100,512,0,0,0,128
conv,25316,262144,64,8,8,0,8,8,1,1,0,8,8,3,4701997,8254828,4,145199868,23199746,5,100925440,59.1617,0,0,0,0,185794560,6422528,0.294,99.9437,822083584,0,192413696,13107200,870055936,338690048,0,69992448,1,5.29733,0,0,0,1,1,5,10.2779,100,99.8478,640,0,784,0,96
conv,11194,262144,64,8,8,0,8,8,1,7,0,8,8,2,2204992,2103257,4,52154745,16777218,1,8028160,0,0,0,0,0,0,0,0.180738,99.7722,822083584,0,50855936,262144,81002496,30408704,0,30769152,2,12.0561,0,0,0,1,1,1,13.1086,100,100,384,0,0,0,168
conv,23543,262144,64,8,8,0,8,8,2,1,0,8,8,2,3159976,7736406,4,144940754,14811138,5,100925440,62.2734,0,0,0,0,185794560,6422528,0.243219,99.861,822083584,0,199229440,13107200,861667328,287834112,0,68354048,1,5.67609,0,0,0,1,1,5,11.0363,100,99.8442,512,0,784,0,123
conv,12160,262144,64,8,8,0,8,8,2,7,0,8,8,2,2491221,2105981,3,52366567,8388610,1,8028160,0,0,0,0,0,0,0,0.124271,99.9869,822083584,0,53739520,262144,72613888,27262976,0,30498816,2,11.0249,0,0,0,1,1,1,11.8703,100,100,256,0,0,0,237
conv,23027,262144,64,8,8,0,8,8,4,1,0,8,8,2,3359974,7412227,4,145070354,10616834,5,100925440,63.9553,0,0,0,0,185794560,6422528,0.246315,99.8964,822083584,0,201588736,13107200,857473024,327417856,0,69533696,1,5.83213,0,0,0,1,1,5,11.3767,100,99.8468,512,0,784,0,128
conv,11152,262144,64,8,8,0,8,8,4,7,0,8,8,2,2494751,2106333,3,52363767,4194306,1,8028160,0,0,0,0,0,0,0,0.124519,99.9873,822083584,0,56098816,262144,68419584,28049408,0,30466048,2,12.0488,0,0,0,1,1,1,13.0494,100,100,256,0,0,0,218
conv,51585,16777216,64,8,8,1,1,1,1,1,0,8,8,6,6658495,70510740,3,145744746,106954754,5,213909504,81.5817,3,49.1156,51380224,4194304,205520896,102760448,0.948682,99.9956,822083584,0,9361686528,822083584,3407872000,352321536,0,471859200,4,2.60658,0,0,0,1,1,7,42.186,100,97.7917,1024,784,200,0,32
conv,51683,16777216,64,8,8,1,1,1,1,1,1,8,8,6,6732275,70468477,3,145874734,106954754,5,213909504,81.5817,3,47.3295,51380224,6291456,205520896,102760448,0.948729,99.9945,822083584,0,9361686528,822083584,3407872000,352321536,0,471859200,4,2.60453,0,0,0,1,1,7,42.1533,100,97.7917,1024,840,200,0,32
conv,29896,16777216,64,8,8,1,1,1,1,7,0,8,8,1,2623137,2106569,1,42725100,4194306,4,111149056,0,4,49.1156,51380224,4194304,0,0,0.915218,99.9933,822083584,0,771751936,16777216,1763704832,704643072,0,133693440,1,4.50351,0,0,0,1,2,4,18.4749,100,95.3431,1024,784,0,0,31
