Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,16632,67108864,64,1,0,0,0,8,8,8,8,0,5,8650501,8396693,2,8784283,33554436,1,8388608,0,0,0,0,0,0,0,0.914207,99.9899,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,2,14.5162,100,100,1024,0,0,0,7
mtran,19206,67108864,64,1,0,0,0,8,8,8,8,1,4,8650083,8413783,2,8653835,33554436,1,8388608,0,0,0,0,0,0,0,0.933833,99.9914,67108864,0,2483093440,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,1,28.6548,100,94.2326,1024,0,0,0,9
mtran,16670,33554432,64,1,0,0,0,8,8,8,16,0,5,8650369,8394677,2,8653975,33554436,1,8388608,0,0,0,0,0,0,0,0.922582,99.9899,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,2,22.7141,100,76.0563,1024,0,0,0,23
mtran,17943,33554432,64,1,0,0,0,8,8,8,16,1,4,8650279,8416769,2,8783431,33554436,1,8388608,0,0,0,0,0,0,0,0.940227,99.9917,33554432,0,2013331392,167772160,134217728,301989888,67108864,105906176,3,0,0,0,1,1,1,1,29.6304,100,80.2,1024,0,0,0,23
mtran,17177,16777216,64,1,0,0,0,8,8,8,32,0,4,8650281,8395769,2,8653703,33554436,1,8388608,0,0,0,0,0,0,0,0.930716,99.988,0,0,671088640,117440512,134217728,167772160,0,35651584,1,0,0,0,0,1,1,2,10.4025,100,95.5882,1024,0,0,0,23
mtran,18256,16777216,64,1,0,0,0,8,8,8,32,1,4,8650275,8414281,2,8653787,33554436,1,8388608,0,0,0,0,0,0,0,0.938354,99.9893,16777216,0,1057030080,117440512,134217728,184549376,33554432,51380224,2,0,0,0,1,1,1,1,13.9088,100,93.8815,1024,0,0,0,23
mtran,17738,8388608,64,1,0,0,0,8,8,8,64,0,4,8650457,8395873,2,8653499,33554436,1,8388608,0,0,0,0,0,0,0,0.937735,99.9842,0,0,419430400,58720256,134217728,92274688,0,22544384,1,0,0,0,0,1,1,1,6.41219,100,97.6744,1024,0,0,0,23
mtran,18107,8388608,64,1,0,0,0,8,8,8,64,1,4,8773151,8404389,2,8653355,33554436,1,8388608,0,0,0,0,0,0,0,0.938341,99.9867,8388608,0,612433856,58720256,134217728,100663296,16777216,30408704,1,0,0,0,1,1,1,1,8.28507,100,95.6964,1024,0,0,0,23
mtran,16556,67108864,128,1,0,0,0,8,16,8,16,0,5,8650637,8394721,2,8654935,33554436,1,8388608,0,0,0,0,0,0,0,0.903961,99.9897,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,2,14.5878,100,100,1024,0,0,0,7
mtran,17160,67108864,128,1,0,0,0,8,16,8,16,1,4,8650431,8410479,2,8655015,33554436,1,8388608,0,0,0,0,0,0,0,0.91394,99.9897,67108864,0,2483158912,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,2,32.0183,100,94.2345,1024,0,0,0,9
mtran,16695,33554432,128,1,0,0,0,8,16,8,32,0,5,8650433,8396075,2,8654479,33554436,1,8388608,0,0,0,0,0,0,0,0.910027,99.99,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,2,22.6846,100,76.0563,1024,0,0,0,23
mtran,17159,33554432,128,1,0,0,0,8,16,8,32,1,4,8650279,8417209,2,8654279,33554436,1,8388608,0,0,0,0,0,0,0,0.925546,99.9896,33554432,0,2013396864,167772160,134217728,301989888,67108864,105906176,3,0,0,0,1,1,1,2,31.0862,100,80.2019,1024,0,0,0,23
mtran,17144,16777216,128,1,0,0,0,8,16,8,64,0,4,8650481,8398397,2,8783703,33554436,1,8388608,0,0,0,0,0,0,0,0.911025,99.99,0,0,671088640,117440512,134217728,167772160,0,35651584,1,0,0,0,0,1,1,2,10.4028,100,95.5882,1024,0,0,0,23
mtran,17760,16777216,128,1,0,0,0,8,16,8,64,1,4,8650579,8413073,2,8653911,33554436,1,8388608,0,0,0,0,0,0,0,0.922609,99.9877,16777216,0,1057095552,117440512,134217728,184549376,33554432,51380224,2,0,0,0,1,1,1,1,14.2653,100,93.8855,1024,0,0,0,23
mtran,16494,67108864,256,1,0,0,0,8,32,8,32,0,5,8650521,8396357,2,8656275,33554436,1,8388608,0,0,0,0,0,0,0,0.928826,99.9888,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,2,14.63,100,100,1024,0,0,0,7
mtran,16741,67108864,256,1,0,0,0,8,32,8,32,1,5,8650239,8415053,2,8655183,33554436,1,8388608,0,0,0,0,0,0,0,0.888844,99.9896,67108864,0,2483289856,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,2,32.8358,100,94.2383,1024,0,0,0,9
mtran,16697,33554432,256,1,0,0,0,8,32,8,64,0,5,8650493,8398921,2,8785095,33554436,1,8388608,0,0,0,0,0,0,0,0.887153,99.9908,0,0,1241513984,167772160,134217728,268435456,0,74448896,2,0,0,0,0,1,1,2,22.6807,100,76.0563,1024,0,0,0,23
mtran,16772,33554432,256,1,0,0,0,8,32,8,64,1,5,8650395,8413985,2,8654595,33554436,1,8388608,0,0,0,0,0,0,0,0.899803,99.9918,33554432,0,2013527808,167772160,134217728,301989888,67108864,105906176,3,0,0,0,1,1,1,2,31.7336,100,80.2057,1024,0,0,0,23
mtran,16660,67108864,512,1,0,0,0,8,64,8,64,0,5,8650405,8398949,2,8656311,33554436,1,8388608,0,0,0,0,0,0,0,0.90255,99.9888,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,2,14.5192,100,100,1024,0,0,0,7
mtran,16578,67108864,512,1,0,0,0,8,64,8,64,1,5,8650439,8416017,2,8655159,33554436,1,8388608,0,0,0,0,0,0,0,0.829681,99.9892,67108864,0,2483551744,67108864,134217728,402653184,134217728,109051904,3,0,0,0,1,1,1,2,33.0926,100,94.2458,1024,0,0,0,9
mtran,31108,67108864,32,1,0,0,0,16,2,16,2,0,3,8780087,8394889,2,8911777,67108868,1,8388608,0,0,0,0,0,0,0,0.478494,99.9937,0,0,939524096,67108864,134217728,335544320,0,46137344,1,0,0,0,0,1,1,1,7.75957,100,100,1024,0,0,0,7
mtran,30724,67108864,32,1,0,0,0,16,2,16,2,1,4,8849322,15057599,2,8911513,67108868,1,8388608,0,0,0,0,0,0,0,0.479088,99.9937,67108864,0,2483044320,67108864,134217728,402653184,134217728,109051904,2,0,0,0,1,1,1,1,17.8487,100,94.2312,1024,0,0,0,9
mtran,30861,33554432,32,1,0,0,0,16,2,16,4,0,3,8891275,8394880,2,8911717,67108868,1,8388608,0,0,0,0,0,0,0,0.489891,99.9949,0,0,1241513984,167772160,134217728,268435456,0,74448896,1,0,0,0,0,1,1,1,12.2632,100,76.0563,1024,0,0,0,23
mtran,30866,33554432,32,1,0,0,0,16,2,16,4,1,3,8779793,11595452,2,8911997,67108868,1,8388608,0,0,0,0,0,0,0,0.490415,99.9954,33554432,0,2013282272,167772160,134217728,301989888,67108864,105906176,2,0,0,0,1,1,1,1,17.2397,100,80.1985,1024,0,0,0,23
mtran,30601,16777216,32,1,0,0,0,16,2,16,8,0,3,8892248,8392609,2,9006331,67108868,1,8388608,0,0,0,0,0,0,0,0.495118,99.9913,0,0,671088640,117440512,134217728,167772160,0,35651584,1,0,0,0,0,1,1,1,5.82608,100,95.5882,1024,0,0,0,23
mtran,30629,16777216,32,1,0,0,0,16,2,16,8,1,3,8780057,8408184,2,8912025,67108868,1,8388608,0,0,0,0,0,0,0,0.495037,99.9949,16777216,0,1056980960,117440512,134217728,184549376,33554432,51380224,1,0,0,0,1,1,1,1,8.32525,100,93.8785,1024,0,0,0,23
mtran,30569,8388608,32,1,0,0,0,16,2,16,16,0,3,8909547,8396625,2,8911417,67108868,1,8388608,0,0,0,0,0,0,0,0.497521,99.9892,0,0,419430400,58720256,134217728,92274688,0,22544384,1,0,0,0,0,1,1,1,3.72264,100,97.6744,1024,0,0,0,23
mtran,30618,8388608,32,1,0,0,0,16,2,16,16,1,3,8779719,8405731,2,8782083,67108868,1,8388608,0,0,0,0,0,0,0,0.497555,99.9864,8388608,0,612384736,58720256,134217728,100663296,16777216,30408704,1,0,0,0,1,1,1,1,4.96956,100,95.6913,1024,0,0,0,23
mtran,30570,4194304,32,1,0,0,0,16,2,16,32,0,3,8909647,8395109,2,8911845,67108868,1,8388608,0,0,0,0,0,0,0,0.498725,99.972,0,0,297795584,29360128,134217728,46137344,0,16252928,1,0,0,0,0,1,1,1,2.71339,100,97.5806,1024,0,0,0,23
mtran,30647,4194304,32,1,0,0,0,16,2,16,32,1,3,8898383,8404265,2,8900377,67108868,1,8388608,0,0,0,0,0,0,0,0.498794,99.956,4194304,0,394280928,29360128,134217728,50331648,8388608,20185088,1,0,0,0,1,1,1,1,3.33774,100,96.1064,1024,0,0,0,23
mtran,30624,2097152,32,1,0,0,0,16,2,16,64,0,3,8909487,8396461,2,8911673,67108868,1,8388608,0,0,0,0,0,0,0,0.499301,99.9823,0,0,243269632,16777216,134217728,27262976,0,13369344,1,0,0,0,0,1,1,1,2.25112,100,98.5294,1024,0,0,0,23
