Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,16930,67108864,64,1,0,0,0,8,8,8,8,1,2,8686818,8416131,1,8394735,16777217,0,0,0,0,0,0,0,0,0.468729,99.9899,67108864,0,1140916160,67108864,134217728,469762048,134217728,69206016,0,0,1,3,0,14.808,1024,0,0,0,6
mtran,23855,33554432,64,1,0,0,0,8,8,8,16,0,2,8834918,9285976,1,8394287,16777217,0,0,0,0,0,0,0,0,0.474245,99.9925,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,5,0,15.1088,1024,0,0,0,26
mtran,16220,33554432,64,1,0,0,0,8,8,8,16,1,2,8686946,8435300,1,8395023,16777217,0,0,0,0,0,0,0,0,0.480537,99.9921,33554432,0,1174470592,33554432,134217728,402653184,67108864,75497472,0,0,1,3,0,15.0237,1024,0,0,0,26
mtran,28469,16777216,64,1,0,0,0,8,8,8,32,0,2,8983388,10605784,1,8393667,16777217,0,0,0,0,0,0,0,0,0.480735,99.9934,0,0,587202560,16777216,134217728,251658240,0,34078720,0,0,1,5,0,14.4407,1024,0,0,0,26
mtran,15618,16777216,64,1,0,0,0,8,8,8,32,1,2,8571642,8475273,1,8394791,16777217,0,0,0,0,0,0,0,0,0.486431,99.9882,16777216,0,738262976,16777216,134217728,268435456,33554432,42467328,0,0,1,3,0,11.8814,1024,0,0,0,26
mtran,24720,8388608,64,1,0,0,0,8,8,8,64,0,2,8687634,9146865,1,8394339,16777217,0,0,0,0,0,0,0,0,0.488911,99.9914,0,0,369098752,8388608,134217728,125829120,0,21233664,0,0,1,4,0,10.5742,1024,0,0,0,24
mtran,16715,8388608,64,1,0,0,0,8,8,8,64,1,2,8686990,8464301,1,8395063,16777217,0,0,0,0,0,0,0,0,0.490577,99.989,8388608,0,444661696,8388608,134217728,134217728,16777216,25427968,0,0,1,3,0,8.04036,1024,0,0,0,24
mtran,23673,67108864,128,1,0,0,0,8,16,8,16,0,2,8687718,11783016,1,8393271,16777217,0,0,0,0,0,0,0,0,0.824486,99.9909,0,0,536870912,67108864,134217728,402653184,0,35651584,0,0,1,9,0,24.4005,1024,0,0,0,6
mtran,12778,67108864,128,1,0,0,0,8,16,8,16,1,3,8686918,8491393,1,8394615,16777217,0,0,0,0,0,0,0,0,0.894698,99.9893,67108864,0,1140981632,67108864,134217728,469762048,134217728,69206016,0,0,1,7,0,28.5244,1024,0,0,0,6
mtran,31604,33554432,128,1,0,0,0,8,16,8,32,0,2,8976592,13720963,1,8392275,16777217,0,0,0,0,0,0,0,0,0.870216,99.9933,0,0,872415232,33554432,134217728,369098752,0,58720256,0,0,1,10,0,25.9998,1024,0,0,0,26
