Kernel name,Computation duration (us),Global size,Local size,VECTOR_TYPE,CR,LOCAL_MEM,PADD_LOCAL,WORK_GROUP_SIZE_X,WORK_GROUP_SIZE_Y,TILE_SIZE_X,TILE_SIZE_Y,DIAGONAL_MAP,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
mtran,9789,33554432,32,1,0,0,0,8,4,8,8,1,3,8388796,8438500,1,8388836,33554441,1,8388608,0,0,0,0,0,0,0,0.489587,100.05,0,33554432,0,2013298656,167772160,134217728,301989888,67108864,105906176,0,1,0,0,0,1,1,1,1,8.94012,100,80.199,1024,0,0,0,22
mtran,4155,16777216,32,1,0,0,0,8,4,8,16,0,6,8388676,8372601,2,8388836,33554441,1,8388608,0,0,0,0,0,0,0,0.4874,100.197,0,0,0,587202560,117440512,134217728,134217728,0,31457280,0,1,0,0,0,0,1,1,1,5.95912,100,96.6667,1024,0,0,0,22
mtran,7580,16777216,32,1,0,0,0,8,4,8,16,1,3,8388836,8377004,1,8388876,33554441,1,8388608,0,0,0,0,0,0,0,0.49328,97.6451,0,16777216,0,973111264,117440512,134217728,150994944,33554432,47185920,0,1,0,0,0,1,1,1,1,5.03829,100,94.4466,1024,0,0,0,22
mtran,3290,8388608,32,1,0,0,0,8,4,8,32,0,7,8388964,8359969,3,8389012,33554441,1,8388608,0,0,0,0,0,0,0,0.491973,99.769,0,0,0,419430400,58720256,134217728,92274688,0,22544384,0,1,0,0,0,0,1,1,1,5.55862,100,97.6744,1024,0,0,0,21
mtran,6383,8388608,32,1,0,0,0,8,4,8,32,1,4,8388740,8369918,2,8388780,33554441,1,8388608,0,0,0,0,0,0,0,0.495895,100.004,0,8388608,0,612401120,58720256,134217728,100663296,16777216,30408704,0,1,0,0,0,1,1,1,1,3.90613,100,95.693,1024,0,0,0,21
mtran,3560,4194304,32,1,0,0,0,8,4,8,64,0,6,8388676,8359963,2,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.49593,99.6902,0,0,0,297795584,29360128,134217728,46137344,0,16252928,0,1,0,0,0,0,1,1,1,3.78738,100,97.5806,1024,0,0,0,24
mtran,6502,4194304,32,1,0,0,0,8,4,8,64,1,4,8388740,8371602,2,8388780,33554441,1,8388608,0,0,0,0,0,0,0,0.497711,100.642,0,4194304,0,394297312,29360128,134217728,50331648,8388608,20185088,0,1,0,0,0,1,1,1,1,2.58439,100,96.109,1024,0,0,0,24
mtran,4463,67108864,64,1,0,0,0,8,8,8,8,0,5,8388884,8371417,2,8389076,33554441,1,8388608,0,0,0,0,0,0,0,0.899096,99.6987,0,0,0,939524096,67108864,134217728,335544320,0,46137344,0,1,0,0,0,0,1,1,1,9.19264,100,100,1024,0,0,0,7
mtran,9597,67108864,64,1,0,0,0,8,8,8,8,1,3,8389148,8378592,1,8389420,33554441,1,8388608,0,0,0,0,0,0,0,0.937939,99.9971,0,67108864,0,2483093440,67108864,134217728,402653184,134217728,109051904,0,1,0,0,0,1,1,1,1,9.44747,100,94.2326,1024,0,0,0,9
mtran,4142,33554432,64,1,0,0,0,8,8,8,16,0,6,8388956,8372418,2,8389036,33554441,1,8388608,0,0,0,0,0,0,0,0.919132,100.04,0,0,0,1241513984,167772160,134217728,268435456,0,74448896,0,2,0,0,0,0,1,1,1,14.6266,100,76.0563,1024,0,0,0,22
mtran,7504,33554432,64,1,0,0,0,8,8,8,16,1,3,8388732,8373236,1,8388772,33554441,1,8388608,0,0,0,0,0,0,0,0.933056,98.0555,0,33554432,0,2013331392,167772160,134217728,301989888,67108864,105906176,0,2,0,0,0,1,1,1,1,11.6174,100,80.2,1024,0,0,0,22
mtran,3341,16777216,64,1,0,0,0,8,8,8,32,0,7,8388876,8359978,3,8389148,33554569,1,8388608,0,0,0,0,0,0,0,0.940812,99.6096,0,0,0,587202560,117440512,134217728,134217728,0,31457280,0,1,0,0,0,0,1,1,1,7.47063,100,96.6667,1024,0,0,0,22
mtran,6350,16777216,64,1,0,0,0,8,8,8,32,1,4,8388740,8368134,2,8388780,33554441,1,8388608,0,0,0,0,0,0,0,0.954226,100.072,0,16777216,0,973144000,117440512,134217728,150994944,33554432,47185920,0,1,0,0,0,1,1,1,1,5.985,100,94.4488,1024,0,0,0,22
mtran,3725,8388608,64,1,0,0,0,8,8,8,64,0,6,8388676,8359965,2,8388716,33554441,1,8388608,0,0,0,0,0,0,0,0.958265,100.052,0,0,0,419430400,58720256,134217728,92274688,0,22544384,0,1,0,0,0,0,1,1,1,4.8859,100,97.6744,1024,0,0,0,21
mtran,6495,8388608,64,1,0,0,0,8,8,8,64,1,4,8389004,8367697,2,8389108,33554441,1,8388608,0,0,0,0,0,0,0,0.9745,100.58,0,8388608,0,612433856,58720256,134217728,100663296,16777216,30408704,0,1,0,0,0,1,1,1,1,3.81722,100,95.6964,1024,0,0,0,21
