Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,4844,16384,64,64,1,8,0,0,0,0,1,1,21536,16384,1,16793750,16385,0,0,0,0,0,0,0,0,0.499242,99.9382,3758325760,0,155402240,33554432,268500992,8634368,0,132145152,29.6736,0,1,3,0,67.3116,1024,0,0,0,32
nbody_kernel,3270,16384,64,64,1,8,0,0,1,0,1,1,21560,16384,1,2113670,16385,0,0,0,98.4793,16777216,525262,0,0,0.494229,99.4441,3758325760,0,226705408,33554432,289472512,33800192,0,135815168,43.1766,0,1,4,0,85.3762,1024,1024,0,0,47
nbody_kernel,9154,16384,64,64,1,8,0,1,0,0,1,1,316078,16384,2,33568934,16385,0,0,0,0,0,0,0,0,0.496373,99.6836,3758325760,0,424001536,33554432,1073889280,4456448,0,165576704,15.614,0,1,6,0,42.5072,1024,0,0,0,40
nbody_kernel,4587,16384,64,64,1,8,0,1,0,0,2,1,163752,16384,2,16791734,16385,0,0,0,0,0,0,0,0,0.498573,99.8284,3758374912,0,212189184,16777216,537018368,2457600,0,141529600,31.0857,0,1,6,0,64.7097,1024,0,0,0,54
nbody_kernel,4129,16384,64,64,1,8,0,1,0,0,4,1,169170,18432,2,16793862,18433,0,0,0.0243635,0,0,0,539,698,0.494632,99.5896,3758473216,0,106299392,8388608,268615680,1654784,0,129516032,34.2951,0,1,3,0,66.018,1024,0,8,0,63
nbody_kernel,3268,16384,64,64,1,8,0,1,1,0,1,1,19712,16384,1,2111622,16385,0,0,0,98.4748,16777216,526056,0,0,0.494525,99.6104,3758325760,0,252035072,33554432,302137344,33816576,0,137003008,43.6785,0,1,4,0,84.6262,1024,1024,0,0,46
nbody_kernel,3351,16384,64,64,1,8,0,1,1,0,2,1,26440,16384,1,2111686,16385,0,0,0,99.9862,16777216,264502,0,0,0.489448,99.5245,3758374912,0,126205952,16777216,285360128,17137664,0,131437056,42.8031,0,1,4,0,84.7513,1024,2048,0,0,48
nbody_kernel,3526,16384,64,64,1,8,0,1,1,0,4,1,35540,16384,1,2111750,16385,0,0,0,99.9722,16777216,266874,0,0,0.335751,97.9964,3758473216,0,63275008,8388608,276971520,8962048,0,128660992,40.9811,0,1,3,0,78.1594,1024,4096,0,0,56
nbody_kernel,4795,16384,64,64,1,8,1,0,0,0,1,1,21608,16384,1,16793734,16385,0,0,0,0,0,0,0,0,0.499314,99.9306,3758325760,0,155402240,33554432,268500992,8634368,0,132145152,29.6604,0,1,3,0,67.3632,1024,0,0,0,32
nbody_kernel,3312,16384,64,64,1,8,1,0,1,0,1,1,27156,16384,1,2113686,16385,0,0,0,98.4832,16777216,524584,0,0,0.497271,99.9282,3758325760,0,226705408,33554432,289472512,33800192,0,135815168,43.558,0,1,4,0,85.713,1024,1024,0,0,47
nbody_kernel,9236,16384,64,64,1,8,1,1,0,0,1,1,177684,16384,2,33568902,16385,0,0,0,0,0,0,0,0,0.49794,99.3674,3758325760,0,424001536,33554432,1073889280,4456448,0,165576704,15.5912,0,1,6,0,42.5738,1024,0,0,0,40
nbody_kernel,4600,16384,64,64,1,8,1,1,0,0,2,1,147366,16384,2,16791750,16385,0,0,0,0,0,0,0,0,0.498449,99.7727,3758374912,0,212189184,16777216,537018368,2457600,0,141529600,31.0466,0,1,6,0,64.6543,1024,0,0,0,54
nbody_kernel,4175,16384,64,64,1,8,1,1,0,0,4,1,21064,18432,2,16793862,18433,0,0,0.0243635,0,0,0,543,699,0.497038,99.9453,3758473216,0,106299392,8388608,268615680,1654784,0,129516032,34.5459,0,1,3,0,66.2394,1024,0,8,0,63
nbody_kernel,3305,16384,64,64,1,8,1,1,1,0,1,1,60418,16384,1,2111654,16385,0,0,0,98.4751,16777216,526005,0,0,0.493794,99.5418,3758325760,0,252035072,33554432,302137344,33816576,0,137003008,43.5877,0,1,4,0,84.5077,1024,1024,0,0,46
nbody_kernel,3370,16384,64,64,1,8,1,1,1,0,2,1,167486,16384,1,2111670,16385,0,0,0,99.9856,16777216,264602,0,0,0.480642,99.3676,3758374912,0,126205952,16777216,285360128,17137664,0,131437056,42.4181,0,1,4,0,84.1212,1024,2048,0,0,48
nbody_kernel,3478,16384,64,64,1,8,1,1,1,0,4,1,24068,16384,1,2111750,16385,0,0,0,99.9719,16777216,266939,0,0,0.337923,96.9707,3758473216,0,63275008,8388608,276971520,8962048,0,128660992,40.9061,0,1,4,0,78.8417,1024,4096,0,0,56
nbody_kernel,4508,16384,64,64,1,16,0,0,0,0,1,1,21740,16384,2,16793766,16385,0,0,0,0,0,0,0,0,0.499053,99.9491,3758325760,0,92487680,16793600,268500992,21168128,0,130046976,31.5467,0,1,3,0,72.7272,1024,0,0,0,37
nbody_kernel,3204,16384,64,64,1,16,0,0,1,0,1,1,21544,16384,1,2113718,16385,0,0,0,98.4789,16777216,525341,0,0,0.490636,99.9233,3758325760,0,126042112,16777216,289472512,33800192,0,132145152,45.1001,0,1,4,0,82.6408,1024,1024,0,0,48
nbody_kernel,8840,16384,64,64,1,16,0,1,0,0,1,1,168074,16384,2,33568950,16385,0,0,0,0,0,0,0,0,0.499461,99.7035,3758325760,0,193331200,16793600,1073889280,21217280,0,158368256,16.323,0,1,6,0,43.0834,1024,0,0,0,32
nbody_kernel,4627,16384,64,64,1,16,0,1,0,0,2,1,100636,16390,2,16791798,16385,0,0,0,0,0,0,0,0,0.499379,99.6716,3758374912,0,96862208,8404992,537018368,10780672,0,137924096,30.7095,0,1,5,0,66.8671,1024,0,0,0,40
nbody_kernel,4070,16384,64,64,1,16,0,1,0,0,4,1,20696,16384,2,16791958,16385,0,0,0,0,0,0,0,0,0.495656,99.6164,3758473216,0,48611328,4210688,268582912,5652480,0,127706624,34.967,0,1,3,0,70.199,1024,0,0,0,56
nbody_kernel,3320,16384,64,64,1,16,0,1,1,0,1,1,33432,16384,1,2111654,16385,0,0,0,98.4745,16777216,526102,0,0,0.490105,99.8524,3758325760,0,151371776,16777216,302137344,33816576,0,133332992,43.754,0,1,4,0,84.1129,1024,1024,0,0,48
nbody_kernel,3254,16384,64,64,1,16,0,1,1,0,2,1,311234,16384,1,2111750,16385,0,0,0,99.9862,16777216,264488,0,0,0.48915,99.3092,3758374912,0,75890688,8388608,285360128,17170432,0,129603584,43.9959,0,1,4,0,82.229,1024,2048,0,0,48
nbody_kernel,3567,16384,64,64,1,16,0,1,1,0,4,1,157002,16384,1,2111894,16385,0,0,0,99.9504,16777216,270599,0,0,0.341836,93.1442,3758473216,0,38125568,4194304,276971520,10027008,0,127777280,38.2741,0,1,3,0,72.7637,1024,4096,0,0,56
