Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,6588,16384,64,64,1,2,1,1,1,0,4,1,259458,0,1,2371210,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.483396,99.8302,3758473216,0,216481792,33554432,276971520,8929280,0,134234112,10,60.2962,0,0,3,1,2,1,95.5511,100,99.9748,1024,4096,0,0,55
nbody_kernel,14071,16384,64,64,1,4,0,0,0,0,1,1,259460,16,1,8664474,16386,10,134234112,0,0,0,0,0,0,0,0.99989,99.9865,3758325760,0,293879808,67108864,268500992,205733888,0,143680512,5,28.1155,0,0,2,1,1,3,48.823,100,99.9081,1024,0,0,0,32
nbody_kernel,7499,16384,64,64,1,4,0,0,1,0,1,1,8,0,1,2243296,16386,1,2113536,0,5,9.09091,16777216,524288,0,0,0.732975,99.7387,3758325760,0,432291840,67108864,289472512,29573120,0,143156224,9,53.2418,0,0,3,1,2,1,90.8325,100,99.9077,1024,1024,0,0,40
nbody_kernel,14087,16384,64,64,1,4,0,1,0,0,1,1,259460,0,2,33828250,16386,10,134232064,0,0,0,0,0,0,0,0.993066,99.9182,3758325760,0,826753024,67108864,1073889280,541294592,0,195987456,6,28.0021,0,0,2,1,1,10,59.5111,100,99.9326,1024,0,0,0,32
nbody_kernel,14798,16384,64,64,1,4,0,1,0,0,2,1,259458,0,1,17051282,16386,10,134232064,0,0,0,0,0,0,0,0.571625,98.6782,3758374912,0,413614080,33554432,537018368,203751424,0,154638848,5,26.4385,0,0,2,1,1,5,47.4302,100,99.957,1024,0,0,0,46
nbody_kernel,14072,16384,64,64,1,4,0,1,0,0,4,1,259458,16,1,8666218,16386,10,134232064,0,0,0,0,0,0,0,0.499953,99.9909,3758473216,0,207093760,16777216,268582912,169377792,0,138168320,5,28.1164,0,0,2,1,1,3,45.4002,100,99.9755,1024,0,0,0,64
nbody_kernel,8427,16384,64,64,1,4,0,1,1,0,1,1,129730,0,1,2370970,16386,1,2111488,0,5,9.09091,16777216,524288,0,0,0.732946,99.8348,3758325760,0,461848576,67108864,302137344,33783808,0,144607232,9,49.3887,0,0,3,1,2,1,86.2427,100,99.9087,1024,1024,0,0,40
nbody_kernel,6791,16384,64,64,1,4,0,1,1,0,2,1,0,16,1,2140636,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.581586,97.8252,3758374912,0,231161856,33554432,285360128,17104896,0,135240192,10,58.5163,0,0,3,1,2,1,94.5219,100,99.9508,1024,2048,0,0,48
nbody_kernel,6383,16384,64,64,1,4,0,1,1,0,4,0,0,0,1,2111512,16386,1,2111488,0,6,9.09091,16777216,524288,0,0,0.488779,99.7474,3758473216,0,115818496,16777216,276971520,8929280,0,130564096,10,61.861,0,0,3,1,2,1,95.5286,100,99.9741,1024,4096,0,0,57
nbody_kernel,14076,16384,64,64,1,4,1,0,0,0,1,1,259460,8,1,8664474,16386,10,134234112,0,0,0,0,0,0,0,0.999883,99.9877,3758325760,0,293879808,67108864,268500992,205733888,0,143680512,5,28.1155,0,0,2,1,1,3,48.8225,100,99.9081,1024,0,0,0,32
nbody_kernel,7430,16384,64,64,1,4,1,0,1,0,1,1,129730,0,1,2373018,16386,1,2113536,0,5,9.09091,16777216,524288,0,0,0.732918,99.9128,3758325760,0,432291840,67108864,289472512,29573120,0,143156224,9,53.3323,0,0,3,1,2,1,90.8284,100,99.9077,1024,1024,0,0,40
nbody_kernel,14098,16384,64,64,1,4,1,1,0,0,1,1,129732,8,2,33828250,16386,10,134232064,0,0,0,0,0,0,0,0.993014,99.8162,3758325760,0,826753024,67108864,1073889280,541294592,0,195987456,6,27.984,0,0,2,1,1,10,59.5333,100,99.9326,1024,0,0,0,32
nbody_kernel,14789,16384,64,64,1,4,1,1,0,0,2,1,259466,8,1,17051034,16386,10,134232064,0,0,0,0,0,0,0,0.572928,99.9,3758374912,0,413614080,33554432,537018368,203751424,0,154638848,5,26.8494,0,0,2,1,1,5,47.5782,100,99.957,1024,0,0,0,46
