Kernel name,Computation duration (us),Global size,Local size,WORK_GROUP_SIZE_X,OUTER_UNROLL_FACTOR,INNER_UNROLL_FACTOR1,INNER_UNROLL_FACTOR2,USE_SOA,LOCAL_MEM,USE_CONSTANT_MEMORY,VECTOR_TYPE,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_16,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,half_precision_fu_utilization,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
nbody_kernel,2749,16384,64,64,1,2,0,1,0,0,1,1,0,8,3,33568816,16395,9,134232064,0,0,0,0,0,0,0,0.508777,98.4468,0,3758325760,0,1632059392,134217728,1073889280,272859136,0,214861824,0,6,24.3412,0,0,2,1,1,9,56.6253,100,99.9385,1024,0,0,0,32
nbody_kernel,2546,16384,64,64,1,2,0,1,0,0,2,1,0,8,2,16791600,16395,10,134232064,0,0,0,0,0,0,0,0.507312,99.7356,0,3758374912,0,816267264,67108864,537018368,203751424,0,168270336,0,5,26.5194,0,0,2,1,1,5,51.1335,100,99.9604,1024,0,0,0,40
nbody_kernel,2533,16384,64,64,1,2,0,1,0,0,4,1,384,8,1,8403936,16395,10,134232064,0,0,0,0,0,0,0,0.507314,99.767,0,3758473216,0,408371200,33554432,268582912,135806976,0,143933440,0,5,26.5976,0,0,2,1,1,3,45.2656,100,99.9765,1024,0,0,0,56
nbody_kernel,1473,16384,64,64,1,2,0,1,1,0,1,1,0,8,1,2111552,16443,1,2111488,0,5,9.09091,16777216,524288,0,0,0.503936,99.5311,0,3758325760,0,864501760,134217728,578961408,33783808,0,167938048,0,9,46.0789,0,0,3,1,3,1,89.8721,100,99.9213,1024,1024,0,0,30
nbody_kernel,1315,16384,64,64,1,2,0,1,1,0,2,1,0,8,1,2111536,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.503814,99.7129,0,3758374912,0,432488448,67108864,289554432,17104896,0,142711296,0,9,51.7401,0,0,3,1,2,1,87.8054,100,99.9534,1024,2048,0,0,40
nbody_kernel,1163,16384,64,64,1,2,0,1,1,0,4,1,0,8,1,2111768,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.495546,99.6214,0,3758473216,0,216481792,33554432,279068672,8929280,0,134299648,0,10,58.5663,0,0,3,1,2,1,93.0565,100,99.9748,1024,4096,0,0,55
nbody_kernel,2544,16384,64,64,1,2,1,0,0,0,1,1,0,616,1,8405040,16395,10,134234112,0,0,0,0,0,0,0,0.507709,99.9419,0,3758325760,0,562315264,134217728,268500992,4407296,0,147874816,0,5,26.475,0,0,2,1,1,3,45.9956,100,99.9107,1024,0,0,0,29
nbody_kernel,1501,16384,64,64,1,2,1,0,1,0,1,1,0,8,1,2113736,16395,1,2113536,0,5,9.09091,16777216,524288,0,0,0.505734,99.6367,0,3758325760,0,834945024,134217728,566296576,29589504,0,166487552,0,9,45.2079,0,0,3,1,3,1,87.4459,100,99.9207,1024,1024,0,0,32
nbody_kernel,2784,16384,64,64,1,2,1,1,0,0,1,1,0,8,3,33568816,16395,9,134232064,0,0,0,0,0,0,0,0.508903,98.1016,0,3758325760,0,1632059392,134217728,1073889280,272859136,0,214861824,0,6,24.3604,0,0,2,1,1,9,56.8693,100,99.9385,1024,0,0,0,32
nbody_kernel,2547,16384,64,64,1,2,1,1,0,0,2,1,0,8,2,16791600,16395,10,134232064,0,0,0,0,0,0,0,0.507303,99.7327,0,3758374912,0,816267264,67108864,537018368,203751424,0,168270336,0,5,26.5261,0,0,2,1,1,5,51.1478,100,99.9604,1024,0,0,0,40
nbody_kernel,2533,16384,64,64,1,2,1,1,0,0,4,1,0,8,1,8402992,16395,10,134232064,0,0,0,0,0,0,0,0.507311,99.7792,0,3758473216,0,408371200,33554432,268582912,135806976,0,143933440,0,5,26.6007,0,0,2,1,1,3,45.2654,100,99.9765,1024,0,0,0,56
nbody_kernel,1472,16384,64,64,1,2,1,1,1,0,1,1,0,8,1,2111888,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.503852,99.6041,0,3758325760,0,864501760,134217728,578961408,33783808,0,167938048,0,9,46.1105,0,0,3,1,3,1,89.8677,100,99.9213,1024,1024,0,0,30
nbody_kernel,1315,16384,64,64,1,2,1,1,1,0,2,1,0,8,1,2111680,16395,1,2111488,0,5,9.09091,16777216,524288,0,0,0.503575,99.5483,0,3758374912,0,432488448,67108864,289554432,17104896,0,142711296,0,9,51.6434,0,0,3,1,2,1,87.7859,100,99.9534,1024,2048,0,0,40
nbody_kernel,1164,16384,64,64,1,2,1,1,1,0,4,1,0,8,1,2111536,16395,1,2111488,0,6,9.09091,16777216,524288,0,0,0.496208,99.5763,0,3758473216,0,216481792,33554432,279068672,8929280,0,134299648,0,10,58.5543,0,0,3,1,2,1,93.0796,100,99.9748,1024,4096,0,0,55
