HW,Runs,Method,Overhead,Extra runtime (%) [Kristian],Extra runtime (%) [Jarda],"Diff (K - J), pp",Average extra runtime [Kristian],Extra runtime deviation [Kristian],Average GT TS [Kristian],GT TS deviation [Kristian],Average estimated TS [Kristian],Estimated TS deviation [Kristian],Average miss (tuning steps) [Kristian],Average extra runtime [Jarda],Extra runtime deviation [Jarda],Average GT TS [Jarda],GT TS deviation [Jarda],Average estimated TS [Jarda],Estimated TS deviation [Jarda],Average miss (tuning steps) [Jarda]
750,10000,0.5,100,5.44523530434383,5.50551890937745,-0.0602836050336206,0.0544523530434383,0.0532298773312294,170.248,140.603778384509,154.587,65.4418553450313,119.757,0.0550551890937745,0.0511901783139308,166.541,135.311804063799,157.368,57.7326127591676,113.221
750,10000,0.5,1000,6.62371216048576,6.21315442862678,0.41055773185898,0.0662371216048576,0.0639681103610306,157.194,130.432466679121,128.938,60.6052320843671,110.67,0.0621315442862678,0.0590409872096609,155.156,125.207738035634,125.367,54.1248400551909,103.241
750,10000,0.5,10000,10.6912422030839,10.0271531098202,0.664089093263691,0.106912422030839,0.101768888878037,97.238,77.8875558481584,48.603,26.593295978498,69.143,0.100271531098202,0.0981307649450592,97.595,81.5703805005224,47.722,24.1420942753523,71.323
750,10000,0.5,100000,10.6773863619608,10.2763051872217,0.40108117473908,0.106773863619608,0.119554696967699,25.931,22.2477917780619,19.541,7.06217523147083,17.888,0.102763051872217,0.109263859389534,25.263,21.1058245752209,18.846,5.20214225103466,16.651
750,10000,0.5,1000000,24.6669429126605,25.8223113510024,-1.15536843834192,0.246669429126605,0.108682664227672,6.282,4.86482024333891,16.534,1.31409436495256,11.478,0.258223113510024,0.119577051817047,6.164,4.7464833297927,16.853,1.13110167535903,11.855
Ok750,10000,1,100,22.0420208647613,21.500750238583,0.541270626178246,0.220420208647613,0.17935203690124,170.248,140.603778384509,27.973,23.145674995558,147.331,0.21500750238583,0.163413361560108,166.957,133.309906424842,26.333,20.1227262318007,144.702
Ok750,10000,1,1000,21.6531455030549,21.064250089047,0.58889541400789,0.216531455030549,0.177804038353041,157.194,130.432466679121,27.55,22.3084176937765,134.696,0.21064250089047,0.162310789950971,157.786,126.335086986949,25.969,19.3973719611704,135.855
750,10000,1,10000,18.5763282814697,18.6214107098998,-0.0450824284300495,0.185763282814697,0.167624032300865,97.238,77.8875558481584,24.84,17.0625437728376,78.712,0.186214107098998,0.160470411194691,100.125,81.6941820143883,22.526,11.9470215535086,81.445
750,10000,1,100000,10.6773863619608,10.4593036856373,0.218082676323419,0.106773863619608,0.119554696967699,25.931,22.2477917780619,19.541,7.06217523147083,17.888,0.104593036856373,0.109442053242358,26.417,21.7372286872085,18.907,5.02437568260973,17.126
750,10000,1,1000000,24.6669429126605,25.2250860259215,-0.558143113261004,0.246669429126605,0.108682664227672,6.282,4.86482024333891,16.534,1.31409436495256,11.478,0.252250860259215,0.116384945963552,6.151,4.65061275532591,16.884,1.19102644806906,11.833
750,1000000,0,100000,20.341682974569,19.4247439269958,0.916939047573177,0.20341682974569,0.162552385068693,582.073,457.449253656622,67.451,75.1992127551878,521.944,0.194247439269958,0.155430533630919,621.312,480.865037880693,69.809,77.0027046213313,562.837
750,1000000,0,1000000,15.9431811152005,15.0781635300868,0.865017585113742,0.159431811152005,0.144607151811263,140.226,115.628694206931,36.745,18.8157374290778,109.909,0.150781635300868,0.136058286754226,136.096,112.465847189269,37.64,19.3219667735974,107.746
750,1000000,0.5,100000,6.68885167571414,6.62809847047588,0.0607532052382611,0.0668885167571414,0.0681831829550021,582.073,457.449253656622,334.716,325.889688919426,476.257,0.0662809847047588,0.0658135221912575,629.069,474.802822484239,305.544,269.420645207453,479.905
750,1000000,0.5,1000000,11.7360888218219,11.6200518697001,0.11603695212173,0.117360888218219,0.105944190314518,140.226,115.628694206931,57.847,37.9365732638044,103.091,0.116200518697001,0.105186887489864,136.096,112.465847189269,54.991,34.6298558905462,102.231
750,1000000,1,100000,28.3118199728624,28.4484602370967,-0.136640264234259,0.283118199728624,0.196284999804599,582.073,457.449253656622,37.58,60.9759099973096,549.179,0.284484602370967,0.180304177605499,629.095,479.331052587875,33.937,59.6029615958805,599.3
750,1000000,1,1000000,21.0118983382013,20.7825318516719,0.229366486529372,0.210118983382013,0.175436390064832,140.226,115.628694206931,26.629,20.7461167209673,118.771,0.207825318516719,0.161926801103128,141.468,119.077205946394,23.943,17.1999346219688,120.881
750,10000000,0,100,21.8349656487753,20.8262046175831,1.00876103119217,0.218349656487753,0.168075596501292,921.784,570.270870152071,134.011,316.453195400205,829.001,0.208262046175831,0.167572850410157,1015.362,571.540141158957,141.515,318.056787028669,921.323
750,10000000,0,1000,22.0224688441841,20.8391049543629,1.1833638898212,0.220224688441841,0.168279611535966,921.784,570.270870152071,130.186,310.964878087542,832.82,0.208391049543629,0.167535089071583,1015.362,571.540141158957,141.305,317.981546595082,921.533
750,10000000,0,10000,21.9814106315087,22.3035121353188,-0.322101503810121,0.219814106315087,0.168187202116446,921.784,570.270870152071,128.986,308.116409501344,834.018,0.223035121353188,0.1728728267924,984.675,576.883715643803,125.809,307.379554490861,908.38
750,10000000,0,1000000,20.5657780375751,19.1631479559558,1.40263008161935,0.205657780375751,0.163332925871521,600.025,471.191878511292,67.566,76.3121592146363,539.475,0.191631479559558,0.15257198397185,635.822,484.244223833388,70.636,80.0149580016137,574.578
750,10000000,0.5,100,1.34643580928078,1.37276775268846,-0.02633194340768,0.0134643580928078,0.0273431973482312,921.784,570.270870152071,1365.809,594.345874486397,777.799,0.0137276775268846,0.0262035159711241,1022.422,580.023442557281,1344.973,577.716203919364,704.899
750,10000000,0.5,1000,1.34787291195617,1.37457584591534,-0.02670293395917,0.0134787291195617,0.0273255018424038,921.784,570.270870152071,1365.715,594.290354771975,777.713,0.0137457584591534,0.0261830407467491,1022.422,580.023442557281,1343.204,577.606380144818,705.826
750,10000000,0.5,10000,1.42933533008756,1.32281972060436,0.1065156094832,0.0142933533008756,0.0277651632929014,921.784,570.270870152071,1345.315,598.55942877462,771.273,0.0132281972060436,0.0243578485308761,984.675,576.883715643803,1353.781,582.787480166656,708.734
750,10000000,0.5,1000000,6.68429308357735,6.95998521880135,-0.275692135224,0.0668429308357735,0.0681214133711494,600.025,471.191878511292,342.437,338.48918746542,493.798,0.0695998521880135,0.069237684708803,655.608,498.697742461303,288.324,269.986294141018,494.226
750,10000000,1,100,31.4914579224391,30.3502662043409,1.14119171809828,0.314914579224391,0.204991246207275,921.784,570.270870152071,57.106,181.613812150949,886.394,0.303502662043409,0.195731720139524,999.234,575.569901266562,73.25,211.058208795583,942.24
750,10000000,1,1000,31.4875527503459,30.3698293227741,1.11772342757175,0.314875527503459,0.204982801127256,921.784,570.270870152071,57.082,181.578934009427,886.418,0.303698293227741,0.195438712049911,999.234,575.569901266562,72.774,210.177474825444,942.668
750,10000000,1,10000,31.4962479000943,31.3724727729541,0.123775127140192,0.314962479000943,0.204457680204689,921.784,570.270870152071,54.588,173.568592366246,888.908,0.313724727729541,0.199435596192587,1024.04,576.588283266318,58.049,170.692362450697,980.547
750,10000000,1,1000000,28.4542839681546,28.8599943163201,-0.405710348165439,0.284542839681546,0.196813087983815,600.025,471.191878511292,37.766,62.0564037307996,567.057,0.288599943163201,0.185889451969783,690.095,511.130875583739,34.13,54.8257521608231,660.741
