Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_utilization,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,single_precision_fu_utilization,flop_sp_efficiency,double_precision_fu_utilization,flop_dp_efficiency,special_fu_utilization,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,warp_execution_efficiency,warp_nonpred_execution_efficiency,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,10338,524288,128,16,16,32,8,16,8,8,2,2,1,0,0,1,0,32,4,8777575,170386,2,25425378,131076,8,75497472,0,8,27.7778,33554432,4194304,0,0,0.746149,99.9308,1073741824,0,2071461888,16777216,1141374976,443547648,0,148373504,5,16.9815,0,0,0,1,3,8,62.3641,100,99.9779,1024,2048,0,0,40
gemm_fast,12668,524288,128,16,16,32,8,16,8,8,2,2,1,0,0,1,1,32,3,8695907,168306,2,25425386,131076,2,16777216,0,10,25,50331648,8388608,0,0,0.991582,99.8992,1073741824,0,1231552512,17301504,1242038272,72351744,0,113688576,3,13.8704,0,0,0,1,4,2,33.3419,100,99.9712,1024,4096,0,0,32
gemm_fast,23807,524288,128,16,16,32,8,16,8,16,2,1,1,0,0,0,0,32,2,9031637,170478,2,84405412,262148,9,201326592,0,0,0,0,0,0,0,0.715405,99.9011,1073741824,0,2976382976,16777216,1611661312,628621312,0,197132288,3,7.38354,0,0,0,1,1,9,34.0601,100,99.9834,1024,0,0,0,38
gemm_fast,17488,524288,128,16,16,32,8,16,8,16,2,1,1,0,0,0,1,32,3,8840823,166234,3,75757178,262148,9,142606336,0,3,20,16777216,4194304,0,0,0.995523,99.8752,1073741824,0,2221408256,16777216,1745879040,610795520,0,177176576,4,10.0437,0,0,0,1,2,9,41.61,100,99.9815,1024,2048,0,0,32
gemm_fast,10695,524288,128,16,16,32,8,16,8,16,2,1,1,0,0,1,0,32,4,8520834,166374,2,33554520,262148,8,75497472,0,8,27.7778,33554432,4194304,0,0,0.746263,99.8967,1073741824,0,2103967744,16777216,1175453696,459276288,0,150945792,5,16.449,0,0,0,1,2,8,59.9069,100,99.9783,1024,2048,0,0,40
gemm_fast,12663,524288,128,16,16,32,8,16,8,16,2,1,1,0,0,1,1,32,3,8772971,168150,2,25425386,262148,2,16777216,0,10,25,50331648,8388608,0,0,0.99323,99.9767,1073741824,0,1315438592,16777216,1309671424,106954752,0,119488512,4,13.8963,0,0,0,1,4,2,35.1429,100,99.9726,1024,4096,0,0,32
gemm_fast,25455,524288,128,16,16,32,8,16,8,16,2,2,1,0,0,0,0,32,2,8910823,168474,2,50850700,131076,9,201326592,0,0,0,0,0,0,0,0.727171,99.9082,1073741824,0,2858942464,16777216,1074266112,478150656,0,171966464,3,6.90039,0,0,0,1,1,6,28.4803,100,99.9809,1024,0,0,0,40
gemm_fast,15858,524288,128,16,16,32,8,16,8,16,2,2,1,0,0,0,1,32,3,8778661,168118,2,42202602,131076,10,142606336,0,3,20,16777216,4194304,0,0,0.99537,99.8278,1073741824,0,2087714816,16777216,1208483840,576716800,0,155140096,4,11.0856,0,0,0,1,2,6,42.478,100,99.9789,1024,2048,0,0,32
gemm_fast,10360,524288,128,16,16,32,8,16,8,16,2,2,1,0,0,1,0,32,4,8779763,170490,2,25425378,131076,8,75497472,0,8,27.7778,33554432,4194304,0,0,0.746651,99.9674,1073741824,0,2071461888,16777216,1141374976,443547648,0,148373504,5,16.9985,0,0,0,1,3,8,62.4039,100,99.9779,1024,2048,0,0,40
gemm_fast,12623,524288,128,16,16,32,8,16,8,16,2,2,1,0,0,1,1,32,3,8637095,168190,1,16907072,131076,2,16777216,0,10,25,50331648,8388608,0,0,0.992034,99.8835,1073741824,0,1281884160,17301504,1275592704,105906176,0,117358592,4,13.9183,0,0,0,1,4,2,34.7686,100,99.9721,1024,4096,0,0,32
