Kernel name,Computation duration (us),Global size,Local size,MWG,NWG,KWG,MDIMC,NDIMC,MDIMA,NDIMB,KWI,VWM,VWN,STRM,STRN,SA,SB,PRECISION,dram_utilization,dram_read_transactions,dram_write_transactions,l2_utilization,l2_read_transactions,l2_write_transactions,tex_utilization,tex_cache_transactions,local_memory_overhead,shared_efficiency,shared_load_transactions,shared_store_transactions,local_load_transactions,local_store_transactions,achieved_occupancy,sm_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_control,inst_compute_ld_st,inst_misc,inst_bit_convert,inst_executed,flop_sp_efficiency,flop_dp_efficiency,cf_fu_utilization,ldst_fu_utilization,tex_fu_utilization,issue_slot_utilization,Maximum work-group size,Local memory size,Private memory size,Constant memory size,Registers count
gemm_fast,3963,65536,128,32,64,32,8,16,8,8,2,4,1,0,0,0,0,32,1,1663838,131080,3,33554666,131073,0,0,0,0,0,0,0,0,0.587292,99.8818,1073741824,0,441581568,8388608,335806464,38404096,0,59379712,16.0225,0,1,5,0,45.3407,1024,0,0,0,48
gemm_fast,6105,65536,128,32,64,32,8,16,8,8,2,4,1,0,0,0,1,32,1,2248302,131072,3,50332102,131073,0,0,0,52.8434,4225473,4703914,0,0,0.367661,97.2413,1073741824,0,313786368,2097152,176422912,13238272,0,49356800,10.3496,0,1,6,0,33.0238,1024,8192,0,0,56
gemm_fast,3234,65536,128,32,64,32,8,16,8,8,2,4,1,0,0,1,0,32,2,2594366,131072,2,18874810,131073,0,0,0,92.9503,4194304,600140,0,0,0.603339,98.728,1073741824,0,311820288,2097152,344195072,15466496,0,54607872,19.8453,0,1,6,0,45.0431,1024,4096,0,0,48
gemm_fast,5652,65536,128,32,64,32,8,16,8,8,2,4,1,0,0,1,1,32,1,2376668,131072,2,35652038,131073,0,0,0,72.6503,8388608,4240441,0,0,0.249871,99.7262,1073741824,0,196542464,2097152,184811520,13369344,0,45959168,11.1934,0,1,6,0,31.5115,1024,12288,0,0,56
gemm_fast,2995,65536,128,32,64,32,8,16,8,8,2,4,2,0,0,0,0,32,1,1086914,131072,3,25166122,131073,0,0,0,0,0,0,0,0,0.584175,99.9445,1073741824,0,437518336,6291456,201588736,17563648,0,54341632,21.2045,0,1,4,0,59.4314,1024,0,0,0,48
gemm_fast,4100,65536,128,32,64,32,8,16,8,8,2,4,2,0,0,0,1,32,1,2208926,131072,3,33554862,131073,0,0,0,59.4356,4219736,3719266,0,0,0.367233,98.7328,1073741824,0,311820288,2097152,159645696,15466496,0,48840704,15.4387,0,1,5,0,41.6036,1024,8192,0,0,56
gemm_fast,1983,65536,128,32,64,32,8,16,8,8,2,4,2,0,0,1,0,32,3,2520632,131072,2,10486202,131073,0,0,0,92.7687,4194304,609522,0,0,0.600022,98.9908,1073741824,0,311951360,2097152,209977344,15597568,0,50421760,32.2872,0,1,5,0,69.2647,1024,4096,0,0,48
gemm_fast,3740,65536,128,32,64,32,8,16,8,8,2,4,2,0,0,1,1,32,2,2649126,131072,2,18874814,131073,0,0,0,73.0533,8388608,4170776,0,0,0.24867,97.7961,1073741824,0,194576384,2097152,168034304,15597568,0,45443072,17.2053,0,1,5,0,41.1195,1024,12288,0,0,52
gemm_fast,2548,65536,128,32,64,32,8,16,8,8,2,4,4,0,0,0,0,32,1,1287075,131081,3,20971758,131073,0,0,0,0,0,0,0,0,0.586778,98.5453,1073741824,0,435486720,6291456,134479872,15400960,0,52113408,24.9039,0,1,4,0,67.9561,1024,0,0,0,48
gemm_fast,3147,65536,128,32,64,32,8,16,8,8,2,4,4,0,0,0,1,32,2,2169806,131072,3,25166270,131073,0,0,0,66.3898,4199760,2907649,0,0,0.366932,98.7984,1073741824,0,311820288,2097152,151257088,13303808,0,48510976,20.1374,0,1,4,0,41.9731,1024,8192,0,0,54
